Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
Leyla Everlasting,Comedy,04-12-2020,112,3.7,Turkish,258682,10-02-2023
All Because of You,Action comedy,01-10-2020,101,4.2,Malay,118151,10-02-2023
"Hello Privilege. It's Me, Chelsea",Documentary,13-09-2019,64,4.4,English,19053,10-02-2023
Seriously Single,Comedy,31-07-2020,107,4.5,English,52311,10-02-2023
Rattlesnake,Horror,25-10-2019,85,4.6,English,46165,10-02-2023
The Binding,Drama,02-10-2020,93,4.7,,135095,10-02-2023
The Main Event,Comedy,10-04-2020,101,4.8,English,164567,10-02-2023
How It Ends,Action-thriller,13-07-2018,113,5,English,49190,10-02-2023
Dude,Teen comedy-drama,20-04-2018,97,5.1,English,102177,10-02-2023
Father of the Year,Comedy,20-07-2018,94,5.2,English,89849,10-02-2023
Rim of the World,Science fiction adventure,24-05-2019,98,5.2,English,1045588,10-02-2023
The Week Of,Comedy,27-04-2018,116,5.2,English,636243,10-02-2023
Things Heard & Seen,Horror,29-04-2021,121,5.3,English,431185,10-02-2023
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
